bmf164;bmf255;bmf304;bmf370;bmf439;bmf527;bmf592;bmf978;exp
False;False;True;False;False;False;True;False;True
True;False;False;True;False;True;False;True;True
False;False;False;False;False;True;False;False;True
False;False;False;False;False;True;False;False;True
False;True;False;False;False;False;True;False;True
True;False;False;False;False;False;False;True;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;True;False;True;True
False;True;False;False;False;True;True;False;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;True;False;True
True;False;False;True;False;True;False;True;True
False;True;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;False;False;True;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;True;False;False;False;False;True;False;True
True;False;False;True;False;False;False;True;True
True;False;False;True;False;True;False;True;True
False;True;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;True;False;True
True;False;False;True;False;True;False;True;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;True;False;True
False;True;False;False;False;False;False;False;True
False;True;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;False;False;True;True
False;False;False;False;False;True;False;False;True
True;False;False;True;False;True;False;True;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;True;False;False;False;True;False;True
False;False;False;True;False;False;False;False;True
True;False;False;True;False;True;False;True;True
True;False;False;True;False;False;False;True;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;True;True;True
True;False;False;False;False;False;True;False;True
False;False;False;False;False;False;True;True;True
False;False;True;False;False;False;True;False;True
False;False;False;False;False;False;True;False;True
True;False;False;True;False;True;False;True;True
True;False;False;True;False;False;False;True;True
False;False;False;False;False;False;False;True;True
False;False;False;False;False;False;False;False;True
False;True;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;True;False;True
True;False;False;True;False;True;False;True;True
False;False;False;False;False;False;True;False;True
False;False;True;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;False;False;True;True
False;False;True;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;True;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;True;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;True;False;False;True
False;False;False;False;False;False;True;False;True
False;False;False;True;False;False;False;False;True
False;False;False;False;False;False;False;True;True
True;False;False;True;False;False;False;True;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;True;True
False;False;False;False;False;False;False;True;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;False;False;True;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;True;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;True;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;True;False;True;True
True;False;False;True;False;False;False;True;True
True;False;False;True;False;True;False;True;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;True;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;True;True
True;False;False;True;False;False;False;True;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;True;True;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;True;True
False;True;False;False;False;False;True;False;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;True;False;False;False;True;False;True
False;False;False;True;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;False;False;True;True
True;False;False;True;False;True;False;True;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;True;False;True;True
True;False;False;False;False;False;False;True;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;True;False;False;False;True;True
False;True;False;False;False;False;True;False;True
True;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;True;False;False;False;True;False;True
False;False;False;False;False;True;False;False;True
False;False;True;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;False;False;True;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;False;False;True;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;True;False;True;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;True;False;False;False;False;True;False;True
True;False;False;True;False;True;False;True;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;False;False;True;True
False;False;False;False;False;False;False;True;True
False;False;True;False;False;False;True;False;True
False;False;False;False;False;True;True;True;True
False;False;False;False;False;True;False;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;True;False;True;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;False;False;True;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;True;False;True
False;True;True;False;False;False;True;False;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;True;False;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;True;False;True;True
False;True;False;False;False;False;True;False;True
False;True;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;True;False;False;True
False;False;False;False;False;True;False;False;True
False;False;False;False;False;False;True;False;True
False;False;True;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;True;False;False;False;False;True;False;True
True;False;False;True;False;False;False;True;True
False;False;False;False;False;False;False;False;True
False;True;False;False;False;False;True;False;True
False;False;False;False;False;False;True;False;True
True;False;False;True;False;True;False;True;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;True;False;False;True
False;False;False;False;False;False;False;True;True
False;False;False;False;False;True;False;False;True
False;False;False;False;False;False;True;False;True
True;False;False;True;False;False;False;True;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;True;True;True
False;False;False;False;False;False;True;False;True
False;True;False;False;False;False;True;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;True;False;True;True
False;False;True;False;False;False;True;False;True
False;False;False;False;False;False;True;False;True
True;False;False;True;False;True;False;True;True
False;True;False;False;False;False;True;False;True
False;False;False;False;False;True;False;False;True
True;False;False;True;False;False;False;True;True
False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True
True;False;False;True;False;True;False;True;True
False;False;False;False;False;False;False;False;True
