bmf21;bmf37;bmf164;bmf177;bmf283;bmf408;bmf450;bmf467;bmf531;bmf604;bmf667;bmf678;bmf697;bmf774;bmf847;bmf860;bmf873;bmf968;exp
False;False;False;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True
False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True
False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True
False;False;False;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True
False;False;False;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True
False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True
False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;True;False;False;True
True;True;True;False;True;False;True;True;False;False;True;False;True;True;True;True;True;True;True
False;False;False;True;True;True;False;False;True;True;False;True;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;False;True;False;False;False;False;True;True;False;False;False;False;True;False;True
True;True;True;False;True;False;True;True;False;False;True;False;True;True;True;True;True;True;True
False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;True;False;False;True;True;False;False;False;True;True;False;True
True;False;True;False;True;False;True;True;True;False;True;False;True;True;True;True;True;True;True
False;False;False;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True
True;False;True;False;True;True;False;False;False;False;False;False;False;True;True;True;False;True;True
True;False;False;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True
