bmf15;bmf16;bmf21;bmf37;bmf38;bmf39;bmf64;bmf73;bmf104;bmf108;bmf115;bmf164;bmf169;bmf177;bmf189;bmf209;bmf214;bmf215;bmf217;bmf232;bmf283;bmf297;bmf321;bmf328;bmf337;bmf343;bmf370;bmf391;bmf402;bmf408;bmf410;bmf439;bmf450;bmf452;bmf454;bmf467;bmf491;bmf514;bmf516;bmf525;bmf526;bmf527;bmf531;bmf547;bmf559;bmf560;bmf582;bmf592;bmf604;bmf606;bmf608;bmf621;bmf626;bmf639;bmf667;bmf672;bmf685;bmf697;bmf735;bmf774;bmf796;bmf810;bmf835;bmf845;bmf847;bmf860;bmf873;bmf875;bmf882;bmf930;bmf933;bmf940;bmf968;bmf971;bmf976;bmf983;bmf1010;exp
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;False;False;True;False;True;True
True;False;True;True;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;True;True;True;False;True;False;False;True;True;True;False;False;False;True;False;False;True;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;True;False;False;True;True;True;False;False;False;False;False;True;False;False;True;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;True;False;False;False;True;True;False;False;False;True;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;True;False;True;False;False;True
False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;True;False;False;False;True;False;True;True;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;True;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;True;False;False;False;True;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;True;True;True;False;True;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;True;False;True;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;True;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;True;False;True;False;False;True;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;True;False;False;True;True;False;False;False;True;False;False;True;False;False;False;False;True
False;False;False;True;True;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;True;False;True;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;True;False;False;False;False;False;True;True;False;False;False;False;False;True;True
